Date,Open,High,Low,Close,Adj Close,Volume
2021-06-21,7.890000,7.950000,7.850000,7.940000,7.825024,1572000
2021-06-22,7.980000,8.090000,7.980000,8.070000,7.953141,2026600
2021-06-23,7.910000,7.910000,7.780000,7.790000,7.677196,1860200
2021-06-24,7.950000,7.970000,7.870000,7.870000,7.756037,1551900
2021-06-25,7.900000,7.920000,7.810000,7.830000,7.716617,1377800
2021-06-28,7.880000,7.910000,7.830000,7.870000,7.756037,1277400
2021-06-29,7.830000,7.850000,7.750000,7.850000,7.736326,1434500
2021-06-30,7.820000,7.880000,7.810000,7.810000,7.696906,1428700
2021-07-01,7.750000,7.760000,7.690000,7.710000,7.598354,1082800
2021-07-02,7.740000,7.790000,7.720000,7.760000,7.647630,1194800
2021-07-06,7.740000,7.740000,7.630000,7.670000,7.558933,1073400
2021-07-07,7.700000,7.700000,7.610000,7.670000,7.558933,935000
2021-07-08,7.600000,7.600000,7.480000,7.540000,7.430816,2235500
2021-07-09,7.570000,7.630000,7.560000,7.630000,7.519513,1615300
2021-07-12,7.580000,7.600000,7.540000,7.600000,7.489947,945900
2021-07-13,7.550000,7.560000,7.490000,7.530000,7.420961,1472500
2021-07-14,7.950000,8.150000,7.950000,7.960000,7.844734,2896500
2021-07-15,8.150000,8.200000,7.990000,8.080000,7.962996,4284100
2021-07-16,8.150000,8.240000,8.130000,8.150000,8.031982,2431100
2021-07-19,8.050000,8.110000,8.040000,8.070000,7.953141,2371400
2021-07-20,8.110000,8.220000,8.000000,8.210000,8.091113,2176600
2021-07-21,8.210000,8.320000,8.170000,8.280000,8.160100,2065300
2021-07-22,8.370000,8.470000,8.350000,8.350000,8.229087,2010200
2021-07-23,8.500000,8.600000,8.500000,8.550000,8.426189,1572400
2021-07-26,8.490000,8.520000,8.330000,8.360000,8.238941,2439300
2021-07-27,8.380000,8.380000,8.240000,8.350000,8.229087,2925000
2021-07-28,8.380000,8.450000,8.320000,8.440000,8.317782,1435400
2021-07-29,8.440000,8.450000,8.380000,8.400000,8.278361,1291300
2021-07-30,8.320000,8.390000,8.310000,8.330000,8.209375,4279800
2021-08-02,8.400000,8.470000,8.390000,8.400000,8.278361,957200
2021-08-03,8.480000,8.580000,8.480000,8.570000,8.445901,1516900
2021-08-04,8.560000,8.560000,8.470000,8.530000,8.406480,1716100
2021-08-05,8.560000,8.590000,8.550000,8.570000,8.445901,1113100
2021-08-06,8.520000,8.560000,8.450000,8.480000,8.357204,1315400
2021-08-09,8.500000,8.510000,8.450000,8.490000,8.367059,470000
2021-08-10,8.530000,8.550000,8.520000,8.550000,8.426189,845800
2021-08-11,8.550000,8.550000,8.510000,8.530000,8.406480,1035700
2021-08-12,8.540000,8.700000,8.520000,8.700000,8.574018,1819800
2021-08-13,8.780000,8.920000,8.770000,8.860000,8.731701,2073700
2021-08-16,8.820000,8.870000,8.730000,8.850000,8.721847,3132200
2021-08-17,9.000000,9.010000,8.880000,8.930000,8.800688,2513100
2021-08-18,8.930000,9.010000,8.850000,8.860000,8.731701,3759700
2021-08-19,8.800000,8.870000,8.760000,8.830000,8.702136,1911000
2021-08-20,8.800000,8.890000,8.780000,8.890000,8.761268,1642200
2021-08-23,8.970000,9.110000,8.970000,9.090000,8.958370,1981400
2021-08-24,9.090000,9.100000,9.020000,9.030000,8.899239,1474400
2021-08-25,9.020000,9.120000,9.000000,9.100000,8.968226,1593700
2021-08-26,9.060000,9.060000,8.980000,9.000000,8.869675,1121600
2021-08-27,9.090000,9.160000,9.050000,9.130000,8.997790,1599100
2021-08-30,9.140000,9.210000,9.130000,9.190000,9.056922,1068400
2021-08-31,9.300000,9.400000,9.290000,9.340000,9.204751,2981200
2021-09-01,9.350000,9.400000,9.320000,9.340000,9.204751,1935600
2021-09-02,9.430000,9.510000,9.430000,9.490000,9.352578,1009000
2021-09-03,9.570000,9.620000,9.550000,9.600000,9.460986,1991800
2021-09-07,9.770000,9.800000,9.620000,9.640000,9.500407,1699200
2021-09-08,9.560000,9.590000,9.400000,9.410000,9.273737,2612000
2021-09-09,9.520000,9.520000,9.400000,9.420000,9.283591,1153100
2021-09-10,9.470000,9.490000,9.400000,9.460000,9.323013,1499300
2021-09-13,9.560000,9.570000,9.490000,9.520000,9.382145,1905400
